algoritmo frames page_faults pages_written
random 2 242036 54053
random 4 131651 37699
random 8 43952 16321
random 16 4447 1448
random 32 2600 869
random 64 1595 548
fifo 2 228838 54321
fifo 4 128601 38644
fifo 8 47828 18797
fifo 16 3820 1335
fifo 32 2497 851
fifo 64 1467 514
lru 2 154429 44024
lru 4 92770 35650
lru 8 30691 11092
lru 16 3344 1069
lru 32 2133 702
lru 64 1264 420
sc 2 197045 50538
sc 4 102645 35610
sc 8 35693 12736
sc 16 3432 1097
sc 32 2116 696
sc 64 1326 448
lfu 2 629511 118365
lfu 4 628857 118188
lfu 8 624396 117833
lfu 16 614809 117601
lfu 32 416651 70270
lfu 64 299627 45132
mfu 2 629006 118375
mfu 4 628000 118142
mfu 8 619563 116857
mfu 16 566610 107505
mfu 32 457837 87758
mfu 64 62464 20472
